ITERATION,NUMBER_SAMPLES,FUNCTION_INDEX,OBJECTIVE_MEAN,OBJECTIVE_MIN,OBJECTIVE_MAX,CRITERION_INDEX,CRITERION_MEAN,CRITERION_MIN,CRITERION_MAX
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 320},0.5244618185263183,0.5022785665852165,0.5466450704674202,0,0.10745999999999999,0.018293367866608845,0.19662663213339113
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 320},0.5244618185263183,0.5022785665852165,0.5466450704674202,1,0.5244618185263183,0.5022785665852165,0.5466450704674202
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 256},0.5244618185263183,0.5022785665852165,0.5466450704674202,0,0.10745999999999999,0.018293367866608845,0.19662663213339113
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 256},0.5244618185263183,0.5022785665852165,0.5466450704674202,1,0.5244618185263183,0.5022785665852165,0.5466450704674202
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 128},0.5244618185263183,0.5022785665852165,0.5466450704674202,0,0.10745999999999999,0.018293367866608845,0.19662663213339113
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 128},0.5244618185263183,0.5022785665852165,0.5466450704674202,1,0.5244618185263183,0.5022785665852165,0.5466450704674202
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V1", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V3},0.4500476547957868,0.42786440285468497,0.4722309067368886,0,0.19081999999999996,0.10165336786660882,0.2799866321333911
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V3},0.4500476547957868,0.42786440285468497,0.4722309067368886,1,0.4500476547957868,0.42786440285468497,0.4722309067368886
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V4},0.42650889663699787,0.40432564469589605,0.4486921485780997,0,0.22817000000000004,0.13900336786660888,0.3173366321333912
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V4},0.42650889663699787,0.40432564469589605,0.4486921485780997,1,0.42650889663699787,0.40432564469589605,0.4486921485780997
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V5},0.406817342688263,0.38463409074716115,0.4290005946293648,0,0.26303,0.17386336786660883,0.35219663213339114
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V5},0.406817342688263,0.38463409074716115,0.4290005946293648,1,0.406817342688263,0.38463409074716115,0.4290005946293648
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,0,0.32497000000000004,0.23580336786660888,0.4141366321333912
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,1,0.38010074202388067,0.35791749008277884,0.4022839939649825
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V2", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 320},0.4867738885228328,0.464590636581731,0.5089571404639346,0,0.14114000000000002,0.051973367866608874,0.23030663213339114
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 320},0.4867738885228328,0.464590636581731,0.5089571404639346,1,0.4867738885228328,0.464590636581731,0.5089571404639346
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 256},0.4867738885228328,0.464590636581731,0.5089571404639346,0,0.14114000000000002,0.051973367866608874,0.23030663213339114
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 256},0.4867738885228328,0.464590636581731,0.5089571404639346,1,0.4867738885228328,0.464590636581731,0.5089571404639346
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 128},0.4867738885228328,0.464590636581731,0.5089571404639346,0,0.14114000000000002,0.051973367866608874,0.23030663213339114
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 128},0.4867738885228328,0.464590636581731,0.5089571404639346,1,0.4867738885228328,0.464590636581731,0.5089571404639346
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V2", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V4},0.42650889663699787,0.40432564469589605,0.4486921485780997,0,0.22817000000000004,0.13900336786660888,0.3173366321333912
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V4},0.42650889663699787,0.40432564469589605,0.4486921485780997,1,0.42650889663699787,0.40432564469589605,0.4486921485780997
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V5},0.406817342688263,0.38463409074716115,0.4290005946293648,0,0.26303,0.17386336786660883,0.35219663213339114
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V5},0.406817342688263,0.38463409074716115,0.4290005946293648,1,0.406817342688263,0.38463409074716115,0.4290005946293648
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,0,0.32497000000000004,0.23580336786660888,0.4141366321333912
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,1,0.38010074202388067,0.35791749008277884,0.4022839939649825
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V3", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 320},0.4500476547957868,0.42786440285468497,0.4722309067368886,0,0.19081999999999996,0.10165336786660882,0.2799866321333911
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 320},0.4500476547957868,0.42786440285468497,0.4722309067368886,1,0.4500476547957868,0.42786440285468497,0.4722309067368886
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 256},0.4500476547957868,0.42786440285468497,0.4722309067368886,0,0.19081999999999996,0.10165336786660882,0.2799866321333911
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 256},0.4500476547957868,0.42786440285468497,0.4722309067368886,1,0.4500476547957868,0.42786440285468497,0.4722309067368886
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 128},0.4500476547957868,0.42786440285468497,0.4722309067368886,0,0.19081999999999996,0.10165336786660882,0.2799866321333911
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 128},0.4500476547957868,0.42786440285468497,0.4722309067368886,1,0.4500476547957868,0.42786440285468497,0.4722309067368886
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V3", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V5},0.406817342688263,0.38463409074716115,0.4290005946293648,0,0.26303,0.17386336786660883,0.35219663213339114
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V5},0.406817342688263,0.38463409074716115,0.4290005946293648,1,0.406817342688263,0.38463409074716115,0.4290005946293648
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,0,0.32497000000000004,0.23580336786660888,0.4141366321333912
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,1,0.38010074202388067,0.35791749008277884,0.4022839939649825
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V4", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 320},0.42650889663699787,0.40432564469589605,0.4486921485780997,0,0.22817000000000004,0.13900336786660888,0.3173366321333912
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 320},0.42650889663699787,0.40432564469589605,0.4486921485780997,1,0.42650889663699787,0.40432564469589605,0.4486921485780997
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 256},0.42650889663699787,0.40432564469589605,0.4486921485780997,0,0.22817000000000004,0.13900336786660888,0.3173366321333912
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 256},0.42650889663699787,0.40432564469589605,0.4486921485780997,1,0.42650889663699787,0.40432564469589605,0.4486921485780997
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 128},0.42650889663699787,0.40432564469589605,0.4486921485780997,0,0.22817000000000004,0.13900336786660888,0.3173366321333912
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 128},0.42650889663699787,0.40432564469589605,0.4486921485780997,1,0.42650889663699787,0.40432564469589605,0.4486921485780997
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V4", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,0,0.32497000000000004,0.23580336786660888,0.4141366321333912
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V6},0.38010074202388067,0.35791749008277884,0.4022839939649825,1,0.38010074202388067,0.35791749008277884,0.4022839939649825
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V5", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 320},0.406817342688263,0.38463409074716115,0.4290005946293648,0,0.26303,0.17386336786660883,0.35219663213339114
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 320},0.406817342688263,0.38463409074716115,0.4290005946293648,1,0.406817342688263,0.38463409074716115,0.4290005946293648
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 256},0.406817342688263,0.38463409074716115,0.4290005946293648,0,0.26303,0.17386336786660883,0.35219663213339114
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 256},0.406817342688263,0.38463409074716115,0.4290005946293648,1,0.406817342688263,0.38463409074716115,0.4290005946293648
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 128},0.406817342688263,0.38463409074716115,0.4290005946293648,0,0.26303,0.17386336786660883,0.35219663213339114
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 128},0.406817342688263,0.38463409074716115,0.4290005946293648,1,0.406817342688263,0.38463409074716115,0.4290005946293648
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V5", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V6", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V6", Lame MP3 Compression V7},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V6", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V6", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V6", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V6", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 320},0.38010074202388067,0.35791749008277884,0.4022839939649825,0,0.32497000000000004,0.23580336786660888,0.4141366321333912
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 320},0.38010074202388067,0.35791749008277884,0.4022839939649825,1,0.38010074202388067,0.35791749008277884,0.4022839939649825
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 256},0.38010074202388067,0.35791749008277884,0.4022839939649825,0,0.32497000000000004,0.23580336786660888,0.4141366321333912
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 256},0.38010074202388067,0.35791749008277884,0.4022839939649825,1,0.38010074202388067,0.35791749008277884,0.4022839939649825
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 128},0.38010074202388067,0.35791749008277884,0.4022839939649825,0,0.32497000000000004,0.23580336786660888,0.4141366321333912
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 128},0.38010074202388067,0.35791749008277884,0.4022839939649825,1,0.38010074202388067,0.35791749008277884,0.4022839939649825
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V6", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V7", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V7", Lame MP3 Compression V8},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V7", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V7", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 320},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 320},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 256},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 256},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 128},0.35312690635208205,0.3309436544109802,0.37531015829318387,0,0.3949600000000001,0.30579336786660893,0.48412663213339124
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 128},0.35312690635208205,0.3309436544109802,0.37531015829318387,1,0.35312690635208205,0.3309436544109802,0.37531015829318387
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V7", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V8", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V8", Lame MP3 Compression V9},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 320},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 320},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 256},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 256},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 128},0.32368685309513107,0.30150360115402924,0.3458701050362329,0,0.46259,0.37342336786660885,0.5517566321333911
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 128},0.32368685309513107,0.30150360115402924,0.3458701050362329,1,0.32368685309513107,0.30150360115402924,0.3458701050362329
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V8", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 320},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 320},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 256},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 256},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 128},0.2407772253584415,0.21859397341733972,0.2629604772995433,0,0.6775100000000002,0.588343367866609,0.7666766321333913
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 128},0.2407772253584415,0.21859397341733972,0.2629604772995433,1,0.2407772253584415,0.21859397341733972,0.2629604772995433
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame MP3 Compression V9", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame Constant MP3 Compression Bitrate 320", Lame Constant MP3 Compression Bitrate 256},1.0000000000000002,0.9778167480588984,1.0,0,0.20423000000000005,0.11506336786660891,0.2933966321333912
0,25,{Lame Constant MP3 Compression Bitrate 320", Lame Constant MP3 Compression Bitrate 256},1.0000000000000002,0.9778167480588984,1.0,1,1.0000000000000002,0.9778167480588984,1.0
0,25,{Lame Constant MP3 Compression Bitrate 320", Lame Constant MP3 Compression Bitrate 128},1.0000000000000002,0.9778167480588984,1.0,0,0.20423000000000005,0.11506336786660891,0.2933966321333912
0,25,{Lame Constant MP3 Compression Bitrate 320", Lame Constant MP3 Compression Bitrate 128},1.0000000000000002,0.9778167480588984,1.0,1,1.0000000000000002,0.9778167480588984,1.0
0,25,{Lame Constant MP3 Compression Bitrate 320", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,0,0.28801,0.19884336786660883,0.37717663213339114
0,25,{Lame Constant MP3 Compression Bitrate 320", Lame Constant MP3 Compression Bitrate 64},0.42859252942482573,0.4064092774837239,0.45077578136592755,1,0.42859252942482573,0.4064092774837239,0.45077578136592755
0,25,{Lame Constant MP3 Compression Bitrate 256", Lame Constant MP3 Compression Bitrate 128},1.0000000000000002,0.9778167480588984,1.0,0,0.20423000000000005,0.11506336786660891,0.2933966321333912
0,25,{Lame Constant MP3 Compression Bitrate 256", Lame Constant MP3 Compression Bitrate 128},1.0000000000000002,0.9778167480588984,1.0,1,1.0000000000000002,0.9778167480588984,1.0
